,orderNumber,jobNumber,partNumber,partDescription,quantity,dueDate,comments,customerCode,PONumber,dateEntered,notesToCustomer,location,productCode,priority,unitPrice,miscDescription,quantityOrdered,quantityToStock,totalEstimatedHours,user_Text2,jobOnHold
3,14529,14529-03,MOR-C7.1-ENGINE,"C7.1-ENGINE, C7.1 ENGINE HARNESS ***not compatible w/ stage 5 engine***",10,2020-04-28T04:00:00Z,,MOROOKA,14241,2019-12-18T05:00:00Z,,MAIN,PROD-HNS-W2,50,667.33,,10,0,28.2146193087101,kbn,True
6,16546,16546-01,GRADY-14-508,"14-508, 235/236 BSS HARNESS",20,2023-12-29T05:00:00Z,,GRADY-WHITE,463613,2022-03-25T04:00:00Z,,GREENVILLE,PROD-HNS-W3,40,29.36,da-i,20,0,6.71111124753952,customer,True
7,16573,16573-02,GRADY-14-508,"14-508, 235/236 BSS HARNESS",20,2023-12-29T05:00:00Z,,GRADY-WHITE,464429,2022-03-31T04:00:00Z,"EMSCO provides the following to manufacture your assembly per the drawing provided including all material and labor.

Lead-time:  based on current material availability, shipping is 4 - 5 weeks after receipt of all materials for the first release.

Warranty:  1 year on manufacturing defects (will replace, repair or refund the item).",GREENVILLE,PROD-HNS-W3,40,29.36,da-i,20,0,6.627777934074402,customer,True
11,16859,16859-01,GRADY-14-508,"14-508, 235/236 BSS HARNESS",100,2023-06-07T04:00:00Z,,GRADY-WHITE,470180,2022-06-30T04:00:00Z,,GREENVILLE,PROD-HNS-W3,40,29.36,da-i,100,0,21.405556470155716,customer,True
12,16906,16906-01,GRADY-16-599,"16-599, 275/285 BSS WIRING",20,2023-12-29T05:00:00Z,,GRADY-WHITE,470835,2022-07-19T04:00:00Z,,GREENVILLE,PROD-HNS-W3,40,35.07,da-i,20,0,7.111111164093018,customer,True
13,16983,16983-01,GRADY-16-599,"16-599, 275/285 BSS WIRING",1,2023-06-01T04:00:00Z,HOLD - DO NOT BUILD,GRADY-WHITE,VERBAL JOSH,2022-08-04T13:21:28.247Z,First article,GREENVILLE,PROD-HNS-W3,40,0.0,da-i,1,0,3.1105556041002274,customer,True
20,17590,17590-02,GRADY-16-578,"16-578, 215 HULL HARNESS",3,2023-12-29T05:00:00Z,,GRADY-WHITE,484596,2023-02-13T16:32:53.633Z,,GREENVILLE,PROD-HNS-W3,40,638.73,da-u,20,0,69.78333330154419,customer,False
23,17803,17803-13,MOR-VDR-2200-REAR,"VDR-2200-REAR, A-04325-803, REAR CONTROL HARNESS - VDR ONLY",10,2023-06-07T04:00:00Z,"LPRD, KANBAN",MOROOKA,22425,2023-04-25T14:56:57.45Z,,MAIN,PROD-HNS-W2,40,318.73,da-r,10,0,9.37339198589325,kbn,False
24,17838,17838-04,MOR-660-FWD,"660-FWD, A-08325-802, FORWARD CONTROL HARNESS FOR 660",20,2023-06-14T04:00:00Z,"LPRD, KANBAN",MOROOKA,22469,2023-05-03T12:17:45.273Z,,MAIN,PROD-HNS-W2,40,192.43,da-r,20,0,8.204970970749855,kbn,False
25,17838,17838-07,MOR-VDR-2200-REAR,"VDR-2200-REAR, A-04325-803, REAR CONTROL HARNESS - VDR ONLY",10,2023-06-14T04:00:00Z,"LPRD, KANBAN",MOROOKA,22469,2023-05-03T12:17:45.273Z,,MAIN,PROD-HNS-W2,40,318.73,da-r,10,0,9.37339198589325,kbn,False
