,orderNumber,jobNumber,partNumber,partDescription,quantity,dueDate,comments,customerCode,PONumber,dateEntered,notesToCustomer,location,productCode,priority,unitPrice,miscDescription,quantityOrdered,quantityToStock,totalEstimatedHours,user_Text2,jobOnHold
0,12343,12343-01,SIMP57-E0000382,"57-E0000382, SEMA CABLE, 15FT
***quoted using UL CMR rated 300V cable***",46,2017-04-18T04:00:00Z,KANBAN,SIMP,PO96307                       ,2017-04-04T04:00:00Z,,,PROD-MULTI,30,20.83,,50,0,0.0,kbn,False
1,12355,12355-01,SIMP57-E0000381,"57-E0000381, SEMA CABLE, 10FT",26,2017-04-24T04:00:00Z,KANBAN,SIMP,P096383                       ,2017-04-10T04:00:00Z,,,PROD-MULTI,30,20.23,                              ,30,0,0.0,,False
2,12355,12355-02,SIMP57-E0000383,"57-E0000383, SEMA CABLE, 20FT",11,2017-04-24T04:00:00Z,KANBAN,SIMP,P096383                       ,2017-04-10T04:00:00Z,,,PROD-MULTI,30,21.52,                              ,15,0,0.0,,False
8,16577,16577-04,MOR-LED-AMBER-12V,"LED-AMBER-12V, A-08625-805, LED WARNING LIGHT, AMBER, (12V LED)",8,2022-05-12T04:00:00Z,KANBAN,MOROOKA,19932,2022-03-31T04:00:00Z,,MAIN,PROD-HNS-W2,40,14.57,da-i,30,0,0.0,kbn,False
10,16708,16708-03,MOR-DEF-EXT,"DEF-EXT, A-04325-807, AFTERTREATMENT EXTENSION FOR CATERPILLAR C7.1 ENGINE 
(Morooka",2,2022-06-15T04:00:00Z,KANBAN,MOROOKA,20200,2022-05-17T04:00:00Z,"EMSCO provides the following to manufacture your assembly per the drawing provided (see attached) including all material and labor.

Please review the drawing closely as we have added recommendations in RED writing.  These save you on cost and are the basis of the quote.

First-order Engineering:  per quote line item.

Releases:  scheduled releases or Kanban (next-day release) can be done as planned and agreed in advance. 

Lead-time:  based on current material availability, shipping is 4 - 5 weeks ARO for the first release.

Shipping/Freight:  pricing includes delivery for local customers (saves about 10%).

Warranty:  1 year on manufacturing defects (will replace, repair or refund the item).",MAIN,PROD-HNS-W2,40,44.6,da-r,2,0,0.0,,False
22,17756,17756-15,MOR-VDR-2200-REAR,"VDR-2200-REAR, A-04325-803, REAR CONTROL HARNESS - VDR ONLY",5,2023-05-17T04:00:00Z,KANBAN,MOROOKA,22242,2023-04-05T13:14:16.663Z,,MAIN,PROD-HNS-W2,50,318.73,da-r,10,0,9.37339198589325,kbn,False
26,17838,17838-01,MOR-2200-T4-BRANCH,"2200-T4-BRANCH, A-04225-803, BRANCH HARNESS FOR CHASSIS",2,2023-06-14T04:00:00Z,KANBAN,MOROOKA,22469,2023-05-03T12:17:45.273Z,,MAIN,PROD-HNS-W2,40,86.32,da-r,10,0,8.193713657557964,kbn,False
27,17838,17838-03,MOR-660-ECM,"660-ECM, A-08325-800, ECM HARNESS FOR 660",12,2023-06-14T04:00:00Z,KANBAN,MOROOKA,22469,2023-05-03T12:17:45.273Z,,MAIN,PROD-HNS-W2,40,578.38,da-r,20,0,40.65000008046627,kbn,False
28,17861,17861-01,MOR-CAB-4AWG,"CAB-4AWG, A-04225-820-3PCS, POWER CABLES INTERNAL TO CAB, 4 AWG",15,2023-06-20T04:00:00Z,KANBAN,MOROOKA,22507,2023-05-09T15:37:19.73Z,,MAIN,PROD-POWER,40,87.4,n/a,25,0,0.7013888955116272,kbn,False
29,17890,17890-01,MOR-1500-BATTERY,"1500-BATTERY, A-03625-920-12PCS, BATTERY CABLES FOR 1500 VD AND 1500 VDL",2,2023-06-28T04:00:00Z,KANBAN,MOROOKA,22566,2023-05-18T15:20:17.163Z,,MAIN,PROD-POWER,40,589.47,n/a,10,0,0.2500000074505806,kbn,False
30,17891,17891-02,MOR-2200-T4-ECM,"2200-T4-ECM, A-04225-800, ECM HARNESS FOR CHASSIS",5,2023-06-28T04:00:00Z,KANBAN,MOROOKA,22566,2023-05-18T15:58:36.757Z,,MAIN,PROD-HNS-W2,40,671.38,da-r,10,0,18.42748522758484,kbn,False
31,17891,17891-03,MOR-2200-T4-HYD,"2200-T4-HYD, A-04225-801, HYDRAULIC HARNESS FOR CHASSIS",1,2023-06-28T04:00:00Z,KANBAN,MOROOKA,22566,2023-05-18T15:58:36.757Z,,MAIN,PROD-HNS-W2,40,276.82,da-r,10,0,19.81403538584709,kbn,False
32,17891,17891-04,MOR-2POS-DEUTSCH-EXT-4FT,"2POS-DEUTSCH-EXT-4FT, A-08525-803, EXTENSION HARNESS FOR 2 POS DEUTSCH CONNECTORS",5,2023-06-28T04:00:00Z,KANBAN,MOROOKA,22566,2023-05-18T15:58:36.757Z,,MAIN,PROD-HNS-W2,40,130.27,da,10,0,2.450000077486038,kbn,False
33,17891,17891-05,MOR-660-DIESEL,"660-DIESEL, INTERFACE HARNESS TO 660 KUBOTA DIESEL ENGINE",11,2023-06-28T04:00:00Z,KANBAN,MOROOKA,22566,2023-05-18T15:58:36.757Z,,MAIN,PROD-HNS-W2,40,45.83,da-r,20,0,4.800000101327896,kbn,False
34,17891,17891-06,MOR-660-FUSEPANEL,"660-FUSEPANEL, A-08325-804, PANEL W/ MODULAR PLUG, FUSES & RELAYS FOR 660",16,2023-06-28T04:00:00Z,KANBAN,MOROOKA,22566,2023-05-18T15:58:36.757Z,,MAIN,PROD-HNS-W2,40,405.81,da-r,20,0,15.236842513084412,kbn,False
35,17927,17927-01,MOR-660-BATTERY,"660-BATTERY, A-08325-920-7PCS, BATTERY CABLES FOR 660",18,2023-07-12T04:00:00Z,KANBAN,MOROOKA,22652,2023-06-01T12:19:36.01Z,,MAIN,PROD-POWER,40,310.49,n/a,20,0,0.3333333358168602,kbn,False
36,17928,17928-01,MOR-660-REAR,"660-REAR, A-08325-803, REAR CONTROL HARNESS FOR 660",10,2023-07-12T04:00:00Z,KANBAN,MOROOKA,22652,2023-06-01T12:24:53.66Z,,MAIN,PROD-HNS-W2,40,195.64,da-r,25,0,19.37500050663948,kbn,False
37,17958,17958-01,MOR-1000-BATTERY,"1000-BATTERY, A-08425-920-12PCS, BATTERY CABLES FOR 1000",3,2023-07-19T04:00:00Z,KANBAN,MOROOKA,22714,2023-06-08T15:18:05.603Z,,MAIN,PROD-POWER,40,523.55,n/a,10,0,0.2500000074505806,kbn,False
39,17959,17959-01,MOR-2200-T4-FWD,"2200-T4-FWD, A-04225-802, FORWARD HARNESS FOR CHASSIS",5,2023-07-19T04:00:00Z,KANBAN,MOROOKA,22714,2023-06-08T15:20:04.23Z,,MAIN,PROD-HNS-W2,40,315.62,da-r,10,0,12.85043865442276,kbn,False
40,17972,17972-01,MOR-SWIVEL-2200VDR,"SWIVEL-2200VDR, A-04225-883, SWIVEL HARNESS FOR 2200 VDR",3,2023-07-19T04:00:00Z,KANBAN,MOROOKA,22722,2023-06-09T16:13:48.403Z,,MAIN,PROD-HNS-W2,40,21.77,da-r,10,0,2.7780702263116837,kbn,False
41,17975,17975-01,MOR-1000-ECM,"1000-ECM, A-XXXXX-XXX, UPDATED ECM HARNESS FOR CHASSIS",5,2023-07-26T04:00:00Z,KANBAN,MOROOKA,22755,2023-06-16T12:25:53.59Z,,MAIN,PROD-HNS-W2,40,870.75,da-r,10,0,26.266666382551193,kbn,False
42,17975,17975-02,MOR-1000-FUSEPANEL,"1000-FUSEPANEL, A-XXXXX-XXX, PANEL W/ MODULAR PLUG, FUSES & RELAYS FOR 1000",5,2023-07-26T04:00:00Z,KANBAN,MOROOKA,22755,2023-06-16T12:25:53.59Z,,MAIN,PROD-HNS-W2,40,459.52,da-r,10,0,10.41666665673256,kbn,False
43,17975,17975-06,MOR-CAB-ROPS-FWD,"CAB-ROPS-FWD, A-04225-811, FORWARD PORTION, ROPS CAB HARNESS",7,2023-07-26T04:00:00Z,KANBAN,MOROOKA,22755,2023-06-16T12:25:53.59Z,,MAIN,PROD-HNS-W2,40,96.84,da-r,15,0,13.240789413452148,kbn,False
44,17975,17975-05,MOR-660-FWD,"660-FWD, A-08325-802, FORWARD CONTROL HARNESS FOR 660",14,2023-07-26T04:00:00Z,KANBAN,MOROOKA,22755,2023-06-16T12:25:53.59Z,,MAIN,PROD-HNS-W2,40,192.43,da-r,20,0,8.204970970749855,kbn,False
